Submission ID,Submitted at,Store Name,Bill ka kya hua? (Outcome),Bill Number (numeric),Notes,Original Bill ID
M1RBPYX,2026-05-12 13:54:54,Colaba,No change. Jaisa ban na tha bana.,153772,,CLBA-153772
peOaNNE,2026-05-12 14:16:59,Colaba,No change. Jaisa ban na tha bana.,153775,,CLBA-153775
q5V6y9G,2026-05-12 14:41:15,Colaba,No change. Jaisa ban na tha bana.,153777,,CLBA-153777
2jP00re,2026-05-12 14:42:36,Colaba,No change. Jaisa ban na tha bana.,153778,,CLBA-153778
jeP16ka,2026-05-12 15:13:42,Colaba,No change. Jaisa ban na tha bana.,153781,,CLBA-153781
2jPQagp,2026-05-12 15:14:24,Colaba,No change. Jaisa ban na tha bana.,153782,,CLBA-153782
X5Wx4Je,2026-05-13 05:33:28,Colaba,No change. Jaisa ban na tha bana.,153804,,CLBA-153804
xVaXY45,2026-05-13 05:40:52,Colaba,No change. Jaisa ban na tha bana.,153805,,CLBA-153805
gbMD7e1,2026-05-13 06:18:46,Colaba,No change. Jaisa ban na tha bana.,153807,,CLBA-153807
o9MbVvx,2026-05-13 06:26:16,Colaba,No change. Jaisa ban na tha bana.,153808,,CLBA-153808
o9MbaEP,2026-05-13 07:17:27,Colaba,No change. Jaisa ban na tha bana.,153809,,CLBA-153809
2jNEd8V,2026-05-13 07:28:42,Colaba,No change. Jaisa ban na tha bana.,153811,,CLBA-153811
OQ5Q47k,2026-05-13 08:26:48,Colaba,No change. Jaisa ban na tha bana.,153813,,CLBA-153813
zEDE7Gg,2026-05-13 08:34:49,Colaba,No change. Jaisa ban na tha bana.,153814,,CLBA-153814
PR5Rebd,2026-05-13 09:57:00,Colaba,No change. Jaisa ban na tha bana.,153817,,CLBA-153817
RW5WqDQ,2026-05-13 10:16:12,Colaba,No change. Jaisa ban na tha bana.,153818,,CLBA-153818
X5W5PJO,2026-05-13 10:20:00,Colaba,No change. Jaisa ban na tha bana.,153819,,CLBA-153819
8NQq6QA,2026-05-13 12:15:31,Colaba,No change. Jaisa ban na tha bana.,153822,,CLBA-153822
zEDjGWg,2026-05-13 12:16:24,Colaba,No change. Jaisa ban na tha bana.,153823,,CLBA-153823
xVJkqjy,2026-05-06 05:25:26,Goregaon,No change. Jaisa ban na tha bana.,393674,,GORE-393674
o92rJ6M,2026-05-06 05:36:47,Goregaon,No change. Jaisa ban na tha bana.,393675,,GORE-393675
X54VVDY,2026-05-06 06:02:43,Goregaon,No change. Jaisa ban na tha bana.,393677,,GORE-393677
db9LLDq,2026-05-06 06:03:23,Goregaon,No change. Jaisa ban na tha bana.,393678,,GORE-393678
BE74E5K,2026-05-06 06:21:44,Goregaon,No change. Jaisa ban na tha bana.,393679,,GORE-393679
rDPyPBp,2026-05-06 06:50:38,Goregaon,No change. Jaisa ban na tha bana.,393683,,GORE-393683
e5RZexl,2026-05-06 06:57:07,Goregaon,No change. Jaisa ban na tha bana.,393685,,GORE-393685
LDp1Xx1,2026-05-06 07:21:36,Goregaon,No change. Jaisa ban na tha bana.,393689,,GORE-393689
2jP8LWA,2026-05-06 07:22:04,Goregaon,No change. Jaisa ban na tha bana.,393690,,GORE-393690
0VOrqEP,2026-05-06 08:50:44,Goregaon,No change. Jaisa ban na tha bana.,393701,,GORE-393701
9NQGV9V,2026-05-06 09:16:42,Goregaon,No change. Jaisa ban na tha bana.,393703,,GORE-393703
Gelv8Xj,2026-05-06 09:22:58,Goregaon,No change. Jaisa ban na tha bana.,393704,,GORE-393704
Z9ajqRA,2026-05-06 12:27:05,Goregaon,No change. Jaisa ban na tha bana.,393714,,GORE-393714
8Nx17Ez,2026-05-06 12:27:36,Goregaon,No change. Jaisa ban na tha bana.,393713,,GORE-393713
OQGQDMK,2026-05-06 12:41:20,Goregaon,No change. Jaisa ban na tha bana.,393716,,GORE-393716
jePexQ6,2026-05-06 13:21:29,Goregaon,No change. Jaisa ban na tha bana.,383725,,GORE-383725
e5R5LQe,2026-05-06 13:24:43,Goregaon,No change. Jaisa ban na tha bana.,383726,,GORE-383726
NqoqYrp,2026-05-06 13:28:11,Goregaon,No change. Jaisa ban na tha bana.,383726,,GORE-383726
Arvrb9D,2026-05-06 13:37:06,Goregaon,No change. Jaisa ban na tha bana.,383730,,GORE-383730
q5V5zlg,2026-05-06 14:04:20,Goregaon,No change. Jaisa ban na tha bana.,383735,,GORE-383735
YjajXPW,2026-05-06 14:27:42,Goregaon,No change. Jaisa ban na tha bana.,383741,,GORE-383741
ArvrRRo,2026-05-06 14:38:03,Goregaon,No change. Jaisa ban na tha bana.,383742,,GORE-383742
zEYEp0Z,2026-05-06 15:11:52,Goregaon,No change. Jaisa ban na tha bana.,383743,,GORE-383743
OQGaQ0M,2026-05-06 15:22:37,Goregaon,No change. Jaisa ban na tha bana.,393750,,GORE-393750
LDp9Dvp,2026-05-06 15:23:08,Goregaon,No change. Jaisa ban na tha bana.,393749,,GORE-393749
5Xxbj7Z,2026-05-06 15:35:59,Goregaon,No change. Jaisa ban na tha bana.,393751,,GORE-393751
peOoZdq,2026-05-07 05:38:49,Goregaon,No change. Jaisa ban na tha bana.,393773,,GORE-393773
2jPARpA,2026-05-07 05:43:57,Goregaon,No change. Jaisa ban na tha bana.,393774,,GORE-393774
zEYMvj1,2026-05-07 05:57:40,Goregaon,No change. Jaisa ban na tha bana.,393779,,GORE-393779
kbEGVvr,2026-05-07 07:15:28,Goregaon,No change. Jaisa ban na tha bana.,393780,,GORE-393780
EqWl4oN,2026-05-07 07:16:39,Goregaon,No change. Jaisa ban na tha bana.,393786,,GORE-393786
PROzE1x,2026-05-07 08:12:37,Goregaon,No change. Jaisa ban na tha bana.,393787,,GORE-393787
6DNZ1Jk,2026-05-07 08:38:51,Goregaon,No change. Jaisa ban na tha bana.,393795,,GORE-393795
q5VVaWk,2026-05-07 10:50:29,Goregaon,No change. Jaisa ban na tha bana.,393803,,GORE-393803
VpJJzkj,2026-05-07 11:06:48,Goregaon,No change. Jaisa ban na tha bana.,393805,,GORE-393805
YjaaQpd,2026-05-07 11:18:22,Goregaon,No change. Jaisa ban na tha bana.,393806,,GORE-393806
larr5XV,2026-05-07 12:27:36,Goregaon,No change. Jaisa ban na tha bana.,393817,,GORE-393817
GellE12,2026-05-07 12:45:18,Goregaon,No change. Jaisa ban na tha bana.,393818,,GORE-393818
ArvveKo,2026-05-07 12:51:28,Goregaon,No change. Jaisa ban na tha bana.,393820,,GORE-393820
dbddyLd,2026-05-07 12:57:59,Goregaon,No change. Jaisa ban na tha bana.,393821,,GORE-393821
5Xx1K5P,2026-05-07 13:23:37,Goregaon,No change. Jaisa ban na tha bana.,393822,,GORE-393822
PRO5Opd,2026-05-07 13:49:05,Goregaon,No change. Jaisa ban na tha bana.,393824,,GORE-393824
2jPNN8L,2026-05-07 13:52:14,Goregaon,No change. Jaisa ban na tha bana.,393824,,GORE-393824
peOBVRB,2026-05-07 14:08:37,Goregaon,No change. Jaisa ban na tha bana.,393832,,GORE-393832
WJz5YZR,2026-05-07 14:16:48,Goregaon,No change. Jaisa ban na tha bana.,393836,,GORE-393836
kbE6KJ6,2026-05-07 14:35:45,Goregaon,No change. Jaisa ban na tha bana.,393840,,GORE-393840
rDPAWyp,2026-05-07 15:04:22,Goregaon,No change. Jaisa ban na tha bana.,393841,,GORE-393841
kbE61lJ,2026-05-07 15:08:38,Goregaon,No change. Jaisa ban na tha bana.,393850,,GORE-393850
QoV0Rd8,2026-05-08 05:10:37,Goregaon,No change. Jaisa ban na tha bana.,393872,,GORE-393872
VpJ8o4a,2026-05-08 06:15:09,Goregaon,No change. Jaisa ban na tha bana.,393881,,GORE-393881
Dqzeokp,2026-05-08 07:12:14,Goregaon,No change. Jaisa ban na tha bana.,393885,,GORE-393885
OQGL12g,2026-05-08 08:14:32,Goregaon,No change. Jaisa ban na tha bana.,393889,,GORE-393889
EqWLzjN,2026-05-08 08:15:14,Goregaon,No change. Jaisa ban na tha bana.,393890,,GORE-393890
2jPLKEe,2026-05-08 08:44:33,Goregaon,Kuch medicine nahi thi,393893,,GORE-393893
larLLbB,2026-05-08 09:16:39,Goregaon,No change. Jaisa ban na tha bana.,393894,,GORE-393894
M1RLYAY,2026-05-08 09:22:33,Goregaon,No change. Jaisa ban na tha bana.,393895,,GORE-393895
Kp1LkRV,2026-05-08 10:01:36,Goregaon,No change. Jaisa ban na tha bana.,393897,,GORE-393897
DqzDKqR,2026-05-08 11:58:22,Goregaon,No change. Jaisa ban na tha bana.,393916,,GORE-393916
bZdr7Pg,2026-05-08 12:25:50,Goregaon,No change. Jaisa ban na tha bana.,393918,,GORE-393918
9NQvd2Q,2026-05-08 12:27:51,Goregaon,No change. Jaisa ban na tha bana.,393919,,GORE-393919
VpJYlNg,2026-05-08 12:32:24,Goregaon,No change. Jaisa ban na tha bana.,393920,,GORE-393920
YjaYO60,2026-05-08 12:33:23,Goregaon,No change. Jaisa ban na tha bana.,393922,,GORE-393922
J1zDL1z,2026-05-08 12:37:56,Goregaon,No change. Jaisa ban na tha bana.,393923,,GORE-393923
gbGZQGD,2026-05-08 12:54:06,Goregaon,No change. Jaisa ban na tha bana.,393928,,GORE-393928
gbGZYNP,2026-05-08 13:02:29,Goregaon,No change. Jaisa ban na tha bana.,393929,,GORE-393929
J1zDxZ4,2026-05-08 13:37:02,Goregaon,No change. Jaisa ban na tha bana.,393931,,GORE-393931
e5R28Wl,2026-05-08 13:45:14,Goregaon,No change. Jaisa ban na tha bana.,393932,,GORE-393932
EqWDjO4,2026-05-08 14:35:33,Goregaon,No change. Jaisa ban na tha bana.,393938,,GORE-393938
PROYMaQ,2026-05-08 14:36:11,Goregaon,No change. Jaisa ban na tha bana.,393939,,GORE-393939
VpJMpPJ,2026-05-08 14:45:28,Goregaon,No change. Jaisa ban na tha bana.,393941,,GORE-393941
OQGJlj7,2026-05-08 14:55:20,Goregaon,No change. Jaisa ban na tha bana.,393944,,GORE-393944
4aroJQO,2026-05-08 14:58:19,Goregaon,No change. Jaisa ban na tha bana.,393945,,GORE-393945
e5R7Qdl,2026-05-08 15:02:04,Goregaon,No change. Jaisa ban na tha bana.,393950,,GORE-393950
DqzJ7WE,2026-05-08 15:08:44,Goregaon,No change. Jaisa ban na tha bana.,393952,,GORE-393952
xVY99Xy,2026-05-09 05:49:57,Goregaon,No change. Jaisa ban na tha bana.,393981,,GORE-393981
WJzlqLP,2026-05-09 06:27:01,Goregaon,No change. Jaisa ban na tha bana.,393985,,GORE-393985
PRO8NMx,2026-05-09 07:18:17,Goregaon,No change. Jaisa ban na tha bana.,393991,,GORE-393991
GelYGZj,2026-05-09 07:46:55,Goregaon,No change. Jaisa ban na tha bana.,393991,,GORE-393991
9NQ2blG,2026-05-09 08:06:44,Goregaon,No change. Jaisa ban na tha bana.,393999,,GORE-393999
e5R9dkO,2026-05-09 08:16:06,Goregaon,No change. Jaisa ban na tha bana.,394000,,GORE-394000
larKWMp,2026-05-09 09:49:15,Goregaon,No change. Jaisa ban na tha bana.,394007,,GORE-394007
2jP1pjj,2026-05-09 11:49:10,Goregaon,No change. Jaisa ban na tha bana.,394020,,GORE-394020
vXYJG9g,2026-05-09 12:28:04,Goregaon,No change. Jaisa ban na tha bana.,394021,,GORE-394021
rDPJDkR,2026-05-09 12:31:12,Goregaon,No change. Jaisa ban na tha bana.,394022,,GORE-394022
QoVzR28,2026-05-09 12:47:46,Goregaon,No change. Jaisa ban na tha bana.,394026,,GORE-394026
jePJobR,2026-05-09 12:48:12,Goregaon,No change. Jaisa ban na tha bana.,394025,,GORE-394025
dbd89Wd,2026-05-09 12:52:42,Goregaon,No change. Jaisa ban na tha bana.,394027,,GORE-394027
6DNWNjY,2026-05-09 12:57:58,Goregaon,No change. Jaisa ban na tha bana.,394029,,GORE-394029
4ar92pr,2026-05-09 13:14:25,Goregaon,No change. Jaisa ban na tha bana.,394034,,GORE-394034
gbGJ5l1,2026-05-09 13:16:04,Goregaon,Bana hi nahin. Customer chale gaye.,0,"NO BILLS, Customber left. check : Bill ka kya hua? (Outcome)",GORE-0
larYWZk,2026-05-09 13:35:27,Goregaon,No change. Jaisa ban na tha bana.,394035,,GORE-394035
BE7jDJ7,2026-05-09 13:36:06,Goregaon,No change. Jaisa ban na tha bana.,394036,,GORE-394036
zEYGQd8,2026-05-09 13:45:02,Goregaon,No change. Jaisa ban na tha bana.,394037,,GORE-394037
PROb8gV,2026-05-09 13:55:25,Goregaon,No change. Jaisa ban na tha bana.,394038,,GORE-394038
yXYozb0,2026-05-09 14:15:59,Goregaon,No change. Jaisa ban na tha bana.,394044,,GORE-394044
yXYo19B,2026-05-09 14:18:38,Goregaon,No change. Jaisa ban na tha bana.,394045,,GORE-394045
2jPlV1L,2026-05-09 14:30:16,Goregaon,No change. Jaisa ban na tha bana.,394046,,GORE-394046
WJzKB6k,2026-05-09 14:45:44,Goregaon,No change. Jaisa ban na tha bana.,394047,,GORE-394047
xVYRLgJ,2026-05-09 14:50:14,Goregaon,No change. Jaisa ban na tha bana.,394050,,GORE-394050
X508doO,2026-05-09 14:53:06,Goregaon,No change. Jaisa ban na tha bana.,394051,,GORE-394051
jePJryR,2026-05-09 14:58:40,Goregaon,No change. Jaisa ban na tha bana.,394054,,GORE-394054
1WVg9MO,2026-05-11 06:02:38,Goregaon,Partial bana. Customer nein item kam kiye,394183,,GORE-394183
dbd4xrK,2026-05-11 06:15:23,Goregaon,No change. Jaisa ban na tha bana.,394185,,GORE-394185
bZdENaE,2026-05-11 07:00:21,Goregaon,No change. Jaisa ban na tha bana.,394191,,GORE-394191
gbGxzAd,2026-05-11 07:18:40,Goregaon,No change. Jaisa ban na tha bana.,394193,,GORE-394193
dbd41jq,2026-05-11 07:38:25,Goregaon,No change. Jaisa ban na tha bana.,394195,,GORE-394195
gbGxX6K,2026-05-11 07:48:04,Goregaon,No change. Jaisa ban na tha bana.,394196,,GORE-394196
7XxgQaR,2026-05-11 08:17:07,Goregaon,No change. Jaisa ban na tha bana.,394198,,GORE-394198
0VOz7e6,2026-05-11 08:50:48,Goregaon,No change. Jaisa ban na tha bana.,394199,,GORE-394199
vXYVrkX,2026-05-11 08:53:31,Goregaon,No change. Jaisa ban na tha bana.,394204,,GORE-394204
2jPzvag,2026-05-11 09:31:07,Goregaon,No change. Jaisa ban na tha bana.,394226,,GORE-394226
PROLqkb,2026-05-11 10:53:01,Goregaon,Narcotics drug the isliye prescription mange the pharmacist ne but she denied ke prescription original wala nahi dugi rehne toh ek drug mai kahi aur se le lugi  she was also complaining about ke aap log bht call krte ho mujhe medicine chahiye hogi toh mai aake khud lugi,394209,,GORE-394209
ArvYDpD,2026-05-11 12:15:10,Goregaon,No change. Jaisa ban na tha bana.,394214,,GORE-394214
5XxYv16,2026-05-11 12:15:27,Goregaon,No change. Jaisa ban na tha bana.,394215,,GORE-394215
0VOY1KN,2026-05-11 12:34:20,Goregaon,No change. Jaisa ban na tha bana.,394216,,GORE-394216
larjvA5,2026-05-11 12:42:08,Goregaon,No change. Jaisa ban na tha bana.,3942118,,GORE-3942118
OQGZ94M,2026-05-11 13:01:46,Goregaon,No change. Jaisa ban na tha bana.,394219,,GORE-394219
RWPQQrQ,2026-05-11 13:13:10,Goregaon,No change. Jaisa ban na tha bana.,394228,,GORE-394228
8NxYl2l,2026-05-11 13:26:30,Goregaon,No change. Jaisa ban na tha bana.,394231,,GORE-394231
5Xx0Bqd,2026-05-11 13:55:18,Goregaon,Bana hi nahin. Customer chale gaye.,0,"NO BILLS, Customber left. check : Bill ka kya hua? (Outcome)",GORE-0
VpJ7LWy,2026-05-11 13:56:40,Goregaon,No change. Jaisa ban na tha bana.,394237,,GORE-394237
lar2dyk,2026-05-11 14:21:39,Goregaon,No change. Jaisa ban na tha bana.,394239,,GORE-394239
e5RO6ex,2026-05-11 14:25:01,Goregaon,No change. Jaisa ban na tha bana.,394240,,GORE-394240
4ar0pYA,2026-05-11 15:07:34,Goregaon,No change. Jaisa ban na tha bana.,394247,,GORE-394247
Dqz8jLR,2026-05-12 06:38:31,Goregaon,No change. Jaisa ban na tha bana.,394287,,GORE-394287
zEYkxr8,2026-05-12 07:06:44,Goregaon,No change. Jaisa ban na tha bana.,394292,,GORE-394292
RWPAWq4,2026-05-12 07:12:46,Goregaon,No change. Jaisa ban na tha bana.,394293,,GORE-394293
X50p4Az,2026-05-12 07:33:21,Goregaon,No change. Jaisa ban na tha bana.,394296,,GORE-394296
dbdO9Od,2026-05-12 07:33:46,Goregaon,No change. Jaisa ban na tha bana.,394297,,GORE-394297
9NQ8ONE,2026-05-12 07:58:05,Goregaon,No change. Jaisa ban na tha bana.,394298,,GORE-394298
DqzjQjZ,2026-05-12 09:40:20,Goregaon,No change. Jaisa ban na tha bana.,394315,,GORE-394315
zEYVjV1,2026-05-12 10:05:20,Goregaon,Bana hi nahin. Customer chale gaye.,0,"NO BILLS, Customber left. check : Bill ka kya hua? (Outcome)",GORE-0
peOgNkP,2026-05-12 11:51:49,Goregaon,No change. Jaisa ban na tha bana.,394317,,GORE-394317
8Nx9XDr,2026-05-12 12:12:15,Goregaon,No change. Jaisa ban na tha bana.,394328,,GORE-394328
q5Vy9lO,2026-05-12 12:12:29,Goregaon,No change. Jaisa ban na tha bana.,394329,,GORE-394329
larppjp,2026-05-12 12:15:21,Goregaon,No change. Jaisa ban na tha bana.,394320,,GORE-394320
RWPOEYJ,2026-05-12 12:20:47,Goregaon,No change. Jaisa ban na tha bana.,394321,,GORE-394321
o9GWRBx,2026-05-12 12:50:31,Goregaon,No change. Jaisa ban na tha bana.,394324,,GORE-394324
dbdr0jo,2026-05-12 12:50:46,Goregaon,No change. Jaisa ban na tha bana.,394325,,GORE-394325
Z9a0ada,2026-05-12 12:57:03,Goregaon,No change. Jaisa ban na tha bana.,394327,,GORE-394327
PROKAqx,2026-05-12 13:08:31,Goregaon,No change. Jaisa ban na tha bana.,394331,,GORE-394331
EqW9bKr,2026-05-12 13:24:10,Goregaon,No change. Jaisa ban na tha bana.,394334,,GORE-394334
larQlOk,2026-05-12 13:24:24,Goregaon,No change. Jaisa ban na tha bana.,394335,,GORE-394335
1WV86vl,2026-05-12 13:45:20,Goregaon,No change. Jaisa ban na tha bana.,394342,,GORE-394342
2jP0g7M,2026-05-12 14:08:54,Goregaon,No change. Jaisa ban na tha bana.,394346,,GORE-394346
xVYK5RG,2026-05-12 14:26:43,Goregaon,No change. Jaisa ban na tha bana.,394351,,GORE-394351
EqW976L,2026-05-12 14:26:56,Goregaon,No change. Jaisa ban na tha bana.,394352,,GORE-394352
jePNRLY,2026-05-12 14:33:08,Goregaon,No change. Jaisa ban na tha bana.,394353,,GORE-394353
1WV8LRg,2026-05-12 14:37:05,Goregaon,No change. Jaisa ban na tha bana.,394354,,GORE-394354
0VOXpdj,2026-05-12 14:48:29,Goregaon,No change. Jaisa ban na tha bana.,394357,,GORE-394357
vXYoGQg,2026-05-12 15:01:34,Goregaon,No change. Jaisa ban na tha bana.,394359,,GORE-394359
1W7A4jW,2026-05-13 05:32:14,Goregaon,No change. Jaisa ban na tha bana.,394387,,GORE-394387
WJ5OzOa,2026-05-13 05:38:26,Goregaon,No change. Jaisa ban na tha bana.,394388,,GORE-394388
LDWZvGy,2026-05-13 06:39:11,Goregaon,No change. Jaisa ban na tha bana.,394396,,GORE-394396
e5eqKLl,2026-05-13 06:39:25,Goregaon,No change. Jaisa ban na tha bana.,394397,,GORE-394397
Z96jvzB,2026-05-13 06:39:38,Goregaon,No change. Jaisa ban na tha bana.,394398,,GORE-394398
RW5GlMv,2026-05-13 07:10:05,Goregaon,No change. Jaisa ban na tha bana.,394403,,GORE-394403
o9MbN2M,2026-05-13 07:29:10,Goregaon,No change. Jaisa ban na tha bana.,394405,,GORE-394405
bZx5pj2,2026-05-13 07:43:05,Goregaon,No change. Jaisa ban na tha bana.,394407,,GORE-394407
EqQq7AX,2026-05-13 10:21:52,Goregaon,No change. Jaisa ban na tha bana.,394424,,GORE-394424
BEkaeBe,2026-05-13 12:26:56,Goregaon,No change. Jaisa ban na tha bana.,394435,,GORE-394435
DqdBaJN,2026-05-13 12:27:09,Goregaon,No change. Jaisa ban na tha bana.,394436,,GORE-394436
o9MEzlP,2026-05-13 12:27:26,Goregaon,No change. Jaisa ban na tha bana.,394437,,GORE-394437
o9MExEe,2026-05-13 12:29:40,Goregaon,No change. Jaisa ban na tha bana.,394438,,GORE-394438
