Submission ID,Respondent ID,Submitted at,Store Name,Kya staff nein price change ke baare mein inform kiya?,"Jaane ke pehle kabhi bhi,
kya customer nein,
item price ya total price ke liye bill check kiya?","Price ke baare mein, 
kya customer nein ek bhi word bola?","Kya kya bola? 
(multiple options select kar sakte hain)","Price ke baare mein, 
kya customer nein bina kuch bole, 
koi bhi reaction diya?","Kya kya reaction diye? 
(multiple options select kar sakte hain)",Bill ka kya hua?,Bill Number (if bill bana) or Patient ID (compulsory if bill nahin bana),Optional sawaal - aapki koi raay ya customer ke koi emotions?
bZxrQz1,ja54xQY,2026-05-15 08:41:21,Colaba,No,No,Yes,"Confirm kiya (eg ""Rate badha hai kya?""), Kafi behes ki price ke liye",,,No change. Jaisa ban na tha bana.,ZCLBA-153955,Pehle 1 leke gye phir jab wapas aye ek aur lene toh Naya stock ka rate dekh kar bhadak gye  
o9MdLaP,A7AJlde,2026-05-15 08:42:03,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513820,
J1ADv4J,PdvE0Ad,2026-05-15 08:42:38,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196280,
8NQ8lAY,PdvE0Ad,2026-05-15 08:45:36,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196281,
6D2vlrP,PdvE0Ad,2026-05-15 08:49:55,Khar,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196282,
xVayA6y,PdvE0Ad,2026-05-15 08:54:44,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196284,Was happy to receive free product 
ArLDVKB,eqKDBYx,2026-05-15 09:09:33,Goregaon W SV Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68171,
WJ5MOak,gDYAZLO,2026-05-15 09:25:38,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355998,
dbxDb5d,PdvE0Ad,2026-05-15 09:30:44,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196288,
o9M794x,pbRdLAZ,2026-05-15 09:30:46,Goregaon,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394645,
kb67lko,ja54xQY,2026-05-15 09:33:12,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153959,
5X1GbJb,ja54xQY,2026-05-15 09:34:47,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153958,
LDWJzjv,pbRdLAZ,2026-05-15 09:38:52,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394549,
jeQ7b16,eqKDBYx,2026-05-15 09:39:47,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68172,
o9M7ezM,PdvE0Ad,2026-05-15 09:42:32,Khar,No,Yes,Yes,Price pucha,,,No change. Jaisa ban na tha bana.,ZKRWT-196289,
0V6JeOZ,ja54xQY,2026-05-15 09:49:54,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153960,Customer is smiling on service of pharmacist and reward from zeno  like discount on money 
PR5XzAd,gDYAZLO,2026-05-15 09:50:12,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355999,
KplJV4M,pbRdLAZ,2026-05-15 09:52:25,Goregaon,No,No,Yes,Bas discount krne ke baad price puche nothing else,,,No change. Jaisa ban na tha bana.,ZGORE-394650,
5X1GxDE,PdvE0Ad,2026-05-15 09:56:51,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196290,
Vp5MJkE,gDYAZLO,2026-05-15 09:58:11,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356001,
aOYDYZ9,eqKDBYx,2026-05-15 10:00:24,Goregaon W SV Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68174,
dbxDPar,ja54xQY,2026-05-15 10:16:17,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153962,
xVaPZl9,PdvE0Ad,2026-05-15 10:17:45,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196291,
RW5JZ2p,eqKDBYx,2026-05-15 10:39:17,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68176,
2jNJOQe,gDYAZLO,2026-05-15 10:44:42,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356004,
1W7JDdQ,gDYAZLO,2026-05-15 10:45:28,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356006,
7X2VaVL,gDYAZLO,2026-05-15 10:50:33,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356008,
8NQPRoY,eqKDBYx,2026-05-15 10:53:25,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68177,
e5e7zNQ,A7AJlde,2026-05-15 11:03:39,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513836,
M1zJVpY,ja54xQY,2026-05-15 11:05:24,Colaba,No,No,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZCLBA-153970,
Vp5MxQM,pbRdLAZ,2026-05-15 11:06:37,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394652,
yX9E7Ag,A7AJlde,2026-05-15 11:09:08,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513837,
LDWJV7J,eqKDBYx,2026-05-15 11:10:42,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68182,
rDAdgM2,A7AJlde,2026-05-15 11:13:35,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513838,
lad7526,eqKDBYx,2026-05-15 11:17:33,Goregaon W SV Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68183,
PR5Xe2d,pbRdLAZ,2026-05-15 11:24:25,Goregaon,No,Yes,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZGORE-394655,
4axoDd5,ja54xQY,2026-05-15 11:29:53,Colaba,No,No,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZCLBA-153971,
zEDrR60,eqKDBYx,2026-05-15 11:30:39,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68185,
o9M7Z7N,gDYAZLO,2026-05-15 11:37:12,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356009,
vXyOaEl,gDYAZLO,2026-05-15 11:37:34,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356012,
2jNJYVj,gDYAZLO,2026-05-15 11:38:03,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356015,
EqQJG7q,PdvE0Ad,2026-05-15 11:38:51,Khar,No,Yes,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",No,,No change. Jaisa ban na tha bana.,ZKRWT-196295,Last time 30 rs ka lega 
DqdJODj,PdvE0Ad,2026-05-15 11:41:06,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196296,
xVaPb09,eqKDBYx,2026-05-15 11:41:20,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68186,
PR5XZZe,A7AJlde,2026-05-15 11:47:04,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513839,
YjWM7Ed,ja54xQY,2026-05-15 11:47:53,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153972,Customer ne order 1 hafte pehle diya ushko recieve nhi hua  
EqQJO5N,PdvE0Ad,2026-05-15 11:52:23,Khar,No,Yes,Yes,How much discount?,,,No change. Jaisa ban na tha bana.,ZKRWT-196297,
LDWJrPj,eqKDBYx,2026-05-15 11:56:48,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68188,
PR5X79B,PdvE0Ad,2026-05-15 12:00:51,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196299,
aOYDRpb,PdvE0Ad,2026-05-15 12:03:15,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196300,
lad7JoV,ja54xQY,2026-05-15 12:14:28,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153973,
RW5J7Ld,ja54xQY,2026-05-15 12:15:36,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153974,
6D2Ob8O,PdvE0Ad,2026-05-15 12:18:26,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196302,
OQ5B1RM,pbRdLAZ,2026-05-15 12:25:53,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394662,
YjWz566,A7AJlde,2026-05-15 12:29:38,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513849,
KplBpYD,A7AJlde,2026-05-15 12:30:15,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513848,Part 1 of bill SANP-513849.
NqWBr5W,gDYAZLO,2026-05-15 12:33:44,Bandra Hill Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356018,
EqQbKKL,PdvE0Ad,2026-05-15 12:34:01,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196307,
EqQbKAL,PdvE0Ad,2026-05-15 12:35:48,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196307,
o9MVeYV,A7AJlde,2026-05-15 12:43:20,Sanpada,No,No,No,,Yes,Eye brow upar ki,No change. Jaisa ban na tha bana.,SANP-513852,
YjWz066,gDYAZLO,2026-05-15 12:43:52,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356021,
8NQpa0k,A7AJlde,2026-05-15 12:44:16,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513853,
0V6jBpP,eqKDBYx,2026-05-15 12:44:16,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68199,
0V6j8rA,gDYAZLO,2026-05-15 12:44:27,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356022,
aOYr2EB,ja54xQY,2026-05-15 12:49:19,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153975,
jeQ9PPY,pbRdLAZ,2026-05-15 12:52:27,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394668,
NqWBWpl,gDYAZLO,2026-05-15 12:55:21,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-356025,
ArLbLbl,A7AJlde,2026-05-15 12:56:43,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513855,
PR5B5b1,A7AJlde,2026-05-15 12:57:04,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513856,
BEkbkl5,gDYAZLO,2026-05-15 12:57:47,Bandra Hill Road,No,Yes,Yes,"Mol bhaav kiya (eg ""Discount badha do""), Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZBDRA-356026,
o9MVMN1,PdvE0Ad,2026-05-15 12:58:06,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196312,
1W727LL,A7AJlde,2026-05-15 12:58:36,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513857,Just enquired about the coins.
EqQbXPX,eqKDBYx,2026-05-15 12:59:55,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68201,
M1zdbgk,A7AJlde,2026-05-15 13:01:13,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513858,
